feature,importance
CPA,33.98772157585811
conversion_rate,23.213866043890068
income_bracket_encoded,10.963929384766894
industry_vertical_encoded,10.109135257235087
conversions,7.025507946003027
actual_cpc,5.118825576559673
CPC,3.6734533125919198
pages_per_session,0.9853327491887521
bounce_rate,0.7868496189112213
avg_session_duration_seconds,0.6603602223377616
week_of_year,0.5554728741872984
ad_spend,0.28727770005687275
CTR,0.2581205844699398
month,0.2418799162164921
device_type_encoded,0.23617972696005357
