Model,MAE,RMSE,R²,MAPE
Linear Regression,4.687169415579649,8.45624418846628,0.4265536196695786,303.4282881660545
Ridge (L2),4.6869037098430395,8.45607025883291,0.42657720893467954,303.35166309092614
Lasso (L1),4.649116897401315,8.399349045785785,0.43424416290124646,282.7676115959301
Decision Tree,2.484247258723594,5.785881593437743,0.7315416799352745,66.49857366519672
Random Forest,1.85567367038957,4.471746729095604,0.8396414277737926,40.24155028957432
Gradient Boosting,1.7844643047398867,3.9355444643915583,0.8757926111895614,47.384549821302826
CatBoost,1.7707377851513262,3.836171115407002,0.8819859467265595,47.28178960462446
